"series_url","series","season","winner","margin"
"http://www.espncricinfo.com/ci/engine/series/60863.html","Austral-Asia Cup (Australia, India, New Zealand, Pakistan, Sri Lanka in United Arab Emirates)","1985/86","Pakistan",""
"http://www.espncricinfo.com/ci/engine/series/60864.html","Texaco Trophy (India in England)","1986","India","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60865.html","Texaco Trophy (New Zealand in England)","1986","New Zealand","1-1 (2)"
"http://www.espncricinfo.com/ci/engine/series/60866.html","Australia in India ODI Series","1986/87","India","3-2 (6)"
"http://www.espncricinfo.com/ci/engine/series/60867.html","West Indies in Pakistan ODI Series","1986/87","West Indies","4-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60868.html","Champions Trophy (India, Pakistan, Sri Lanka, West Indies in United Arab Emirates)","1986/87","West Indies",""
"http://www.espncricinfo.com/ci/engine/series/60870.html","Benson & Hedges Challenge (Australia, England, Pakistan, West Indies in Australia)","1986/87","England",""
"http://www.espncricinfo.com/ci/engine/series/60869.html","Sri Lanka in India ODI Series","1986/87","India","4-1 (5)"
"http://www.espncricinfo.com/ci/engine/series/60871.html","Benson & Hedges World Series Cup (Australia, England, West Indies in Australia)","1986/87","England",""
"http://www.espncricinfo.com/ci/engine/series/60872.html","Pakistan in India ODI Series","1986/87","Pakistan","5-1 (6)"
"http://www.espncricinfo.com/ci/engine/series/60873.html","West Indies in New Zealand ODI Series","1986/87","West Indies","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60874.html","Sharjah Cup (Australia, England, India, Pakistan in United Arab Emirates)","1986/87","England",""
"http://www.espncricinfo.com/ci/engine/series/60875.html","Texaco Trophy (Pakistan in England)","1987","England","2-1 (3)"
"http://www.espncricinfo.com/ci/engine/series/60876.html","Reliance World Cup (in India/Pakistan)","1987/88","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60877.html","England in Pakistan ODI Series","1987/88","England","3-0 (3)"
"http://www.espncricinfo.com/ci/engine/series/60880.html","Indian Board Benevolent Fund Match (West Indies in India)","1987/88","West Indies","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60879.html","Benson & Hedges World Series Cup (Australia, New Zealand, Sri Lanka in Australia)","1987/88","Australia",""
"http://www.espncricinfo.com/ci/engine/series/60878.html","West Indies in India ODI Series","1987/88","West Indies","6-1 (7)"
"http://www.espncricinfo.com/ci/engine/series/60881.html","Australian Bicentennial Match (England in Australia)","1987/88","Australia","1-0 (1)"
"http://www.espncricinfo.com/ci/engine/series/60882.html","England in New Zealand ODI Series","1987/88","drawn","2-2 (4)"
